o,d,flow
44003021002,44007000600,95
44003021401,44003021401,95
44003021401,44003021800,95
44003021502,44003022100,95
44003021901,44003022100,95
44003022000,44003022100,95
44003022100,44007003400,95
44003022300,44003022202,95
44003022400,44009050103,95
44005040304,44005040500,95
44005040700,44005041300,95
44005041000,44005040500,95
44005041300,44007000300,95
44005041601,44005041602,95
44005041702,44005040102,95
44007000101,44007011600,95
44007000300,44007000800,95
44007001600,44007001600,95
44007001800,44007001900,95
44007002000,44003021100,95
44007002102,44003021100,95
44007002300,44007000600,95
44007002300,44007002800,95
44007002700,44007002700,95
44007002800,25017353400,95
44007003300,44007003100,95
44007003500,44007010300,95
44007003602,44007002400,95
44007010200,44007010400,95
44007010702,44007000600,95
44007011000,44007016400,95
44007011302,44007011401,95
44007011302,44007012601,95
44007011402,44007011401,95
44007011403,44007012601,95
44007011403,44007018500,95
44007012300,44007012702,95
44007012803,44007011600,95
44007013101,44007012601,95
44007013201,44007013202,95
44007013202,44007000800,95
44007014300,44007014300,95
44007014600,44003022300,95
44007014700,44007013600,95
44007015800,44007015200,95
44007015900,25005631100,95
44007017100,44007000800,95
44007018500,44007018000,95
44009050500,44003020800,95
44009050600,44009051400,95
44009050901,09011705102,95
44009050902,44009051000,95
44009051102,44009051400,95
44009051202,44009051201,95
44009051306,44009051503,95
44009051502,44009051305,95
44009051504,44009051503,95
25005632100,44007010300,90
44001030100,44007000800,90
44001030200,44007000600,90
44001030300,44007000800,90
44001030400,44001030200,90
44001030700,44005040103,90
44003020200,44003022100,90
44003020300,44003020500,90
44003020601,44007014200,90
44003020701,44003020701,90
44003020702,44003020603,90
44003020702,44003021100,90
44003021001,44009050103,90
44003021402,44003021002,90
44003021502,44003022300,90
44003021700,44009050103,90
44003022100,44003022202,90
44003022202,44007000600,90
44003022300,44007012601,90
44005040302,44005041200,90
44005040304,44005040200,90
44005040400,44005040303,90
44005040600,44005040302,90
44005041100,44005041000,90
44005041300,44005040103,90
44005041602,44005040103,90
44007000102,44007000101,90
44007001400,44007013701,90
44007001600,44007002800,90
44007001800,44007012500,90
44007002600,44007002600,90
44007002800,44007002900,90
44007002900,25005610202,90
44007003500,44007012602,90
44007010200,44007011600,90
44007010600,44007011600,90
44007011100,44007012602,90
44007011200,25005631100,90
44007011403,44007018400,90
44007011800,44007002900,90
44007011901,44007014600,90
44007011902,44007011500,90
44007012102,44007011800,90
44007012103,44007012103,90
44007012300,44007000600,90
44007012500,44007013201,90
44007012702,44007000800,90
44007012801,44007000800,90
44007012803,44007000800,90
44007013002,44007000600,90
44007013201,44007002700,90
44007013202,44007000600,90
44007013400,44007003602,90
44007013701,44007012601,90
44007014000,44003021100,90
44007014501,44007014700,90
44007014600,44003020901,90
44007014700,25025030300,90
44007014700,44003021100,90
44007015100,44007015200,90
44007015700,25027761200,90
44007015700,44007011600,90
44007015900,44007000800,90
44007016500,44007000600,90
44007017700,44007017700,90
44009050102,44009050103,90
44009050104,44003021100,90
44009050600,44009051306,90
44009050801,44003020604,90
44009051000,44009050801,90
44009051101,44009050901,90
44009051202,44005040800,90
44009051302,44009051102,90
44009051400,44009051504,90
44009051502,44005040800,90
44009051502,44009050302,90
09011705102,44009050902,85
44001030100,44001030400,85
44001030200,44007000800,85
44001030300,44001030400,85
44001030800,44005040103,85
44001030902,44007000800,85
44001030902,44007010502,85
44003020101,44003021100,85
44003020300,44003980000,85
44003020300,44007000600,85
44003020500,44007000600,85
44003020603,44003020703,85
44003020604,44003020602,85
44003020604,44007000600,85
44003020901,44003021901,85
44003020903,44007000600,85
44003021200,44003022202,85
44003021300,44007014200,85
44003021401,44003022300,85
44003021700,44003020901,85
44003021800,44003021902,85
44003021902,44003021100,85
44003021903,44007000800,85
44003022100,44007000600,85
44003022201,44007014200,85
44003022300,44007014600,85
44005040101,44001030800,85
44005040103,44005040200,85
44005040103,44005040303,85
44005040103,44005040304,85
44005040200,44005040400,85
44005040302,44005041000,85
44005040304,44005040600,85
44005040600,44001030800,85
44007000101,44007000200,85
44007000200,44007001400,85
44007001500,44007000800,85
44007001700,44003021100,85
44007001700,44007001700,85
44007002102,44009050600,85
44007002700,44007003602,85
44007002800,44007011600,85
44007002800,44007011901,85
44007002800,44007014200,85
44007003100,44003021100,85
44007003300,44007014200,85
44007003602,44007000600,85
44007010101,44007010502,85
44007010200,44007017100,85
44007010400,44007011600,85
44007010502,44007003602,85
44007010600,44003022100,85
44007011200,25005631200,85
44007011301,44007010900,85
44007011302,44007011600,85
44007011701,44003022100,85
44007011701,44007000600,85
44007011800,44007015200,85
44007011902,44003022100,85
44007011902,44007002500,85
44007011902,44007012702,85
44007012000,44007000600,85
44007012102,44003021100,85
44007012104,44003021100,85
44007012200,44007012601,85
44007012300,44007012601,85
44007012801,44007018500,85
44007012802,44007018500,85
44007013002,44003021100,85
44007013002,44007013102,85
44007013102,25005631400,85
44007013202,44003021100,85
44007013600,44007000600,85
44007014100,44007014700,85
44007014400,44007013900,85
44007014501,44007013701,85
44007014600,44007013900,85
44007014600,44009050301,85
44007014700,44007014600,85
44007014800,44003021100,85
44007014800,44007001500,85
44007015700,44007017000,85
44007016100,44001030902,85
44007016100,44007015000,85
44007016400,44007000600,85
44007016700,44007000600,85
44007017100,44007016700,85
44007017500,44007012803,85
44007017500,44007018400,85
44007017900,44007018000,85
44007018100,25021443101,85
44007018400,25021442102,85
44009050103,44003020800,85
44009050301,44009050103,85
44009050302,44009050301,85
44009050500,44003021100,85
44009050700,44007000800,85
44009050801,09011690800,85
44009050802,44009050901,85
44009051102,44009051101,85
44009051306,44003021100,85
44009051503,44009051504,85
09011705101,44009050801,80
25005615100,44003021100,80
25005630200,44007000800,80
25005630300,44007011403,80
25005631100,44007017000,80
25005631300,44007012601,80
25005631800,44007000800,80
25005632100,44007000600,80
25005632200,44007010502,80
25005633200,44007010200,80
25005641700,44005040101,80
44001030601,44001030602,80
44001030601,44007000600,80
44001030800,44001030901,80
44001030901,44005040400,80
44003020400,44003022300,80
44003020601,44003022202,80
44003020601,44007012601,80
44003020603,44003022100,80
44003020702,44003022202,80
44003020703,44007014200,80
44003020901,44003022100,80
44003021100,44003022100,80
44003021100,44007018500,80
44003021401,44007000800,80
44003021401,44009050103,80
44003021502,44007000800,80
44003021502,44007012000,80
44003021902,44003020602,80
44003022202,44003022100,80
44003022300,44003021100,80
44003022400,44003022400,80
44005040101,44005040600,80
44005040102,44005040800,80
44005040103,44001030800,80
44005040103,44005041000,80
44005040303,44005040200,80
44005040600,44003021100,80
44005041000,44005041200,80
44005041200,44005040200,80
44005041601,25005640100,80
44005041602,44005041200,80
44007000101,44007000600,80
44007000200,44007000101,80
44007000200,44007000600,80
44007001100,44007003602,80
44007001300,44007003500,80
44007002300,44007015200,80
44007002500,44007000600,80
44007002800,44007017100,80
44007003500,44007003400,80
44007010101,44007017000,80
44007010400,44007003400,80
44007010501,44007010501,80
44007010502,44007000600,80
44007010600,44007000101,80
44007010701,44007010300,80
44007010900,25005642500,80
44007011000,25005631100,80
44007011000,44007011301,80
44007011100,44007017100,80
44007011200,25021442201,80
44007011301,44007012601,80
44007011401,44007011301,80
44007011401,44007016000,80
44007011500,44007011702,80
44007011600,44007011701,80
44007011800,44007010502,80
44007011800,44007012200,80
44007012200,44003021100,80
44007012401,44003021100,80
44007012401,44007000600,80
44007012402,44007012500,80
44007012500,44007014100,80
44007012601,44007003601,80
44007012702,44007012000,80
44007012900,44007018500,80
44007013002,44007000800,80
44007013201,44007000600,80
44007013201,44007000800,80
44007013201,44007014200,80
44007013300,44007000600,80
44007013701,44003022100,80
44007013701,44007015200,80
44007013800,44007001500,80
44007014501,44003022300,80
44007014502,44007014502,80
44007014600,44007013701,80
44007014600,44007014502,80
44007014700,44007002800,80
44007014700,44009050103,80
44007015000,44007010800,80
44007015600,44007011702,80
44007015600,44007015200,80
44007015800,44007000800,80
44007016100,44007015100,80
44007016500,44007003400,80
44007016700,44007017000,80
44007017100,44007003601,80
44007017400,44007018000,80
44007017500,44007011600,80
44007017700,44007018100,80
44007017800,44007018500,80
